Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
47,http://ww4.sinaimg.cn/mw1024/8127a458jw1er3vhqnexaj218g0oyth4.jpg,mp;冷！ 不过空气很新鲜～<strong>烟雾</strong>缭绕，仙仙哒～ |阿里山鄉,"(1024, 575)",2166858840,作死不停的贇贇酱,http://tp1.sinaimg.cn/2166858840/180/5607419488/0,"(50, 50)",31,14,31.375602,121.2653,Jiādìngqū 嘉定区,上海 嘉定区,f,35,None,211,80,22,smog
49,http://ww1.sinaimg.cn/mw1024/a0d08ef4jw1er2tpny97sj20hs0hsabr.jpg,纵然<strong>烟雾</strong>缭绕 终会各有出路,"(640, 640)",2698022644,Juan_FM,http://ww4.sinaimg.cn/crop.0.0.1080.1080.1024/a0d08ef4jw8er2ht7uarhj20u00u0jvl.jpg,"(50, 50)",44,1,23.129163,113.264435,Guǎngzhōu 广州,广东 广州,f,180,None,2,80,14,smog
50,http://ww3.sinaimg.cn/mw1024/9fe45ba6jw1er2qj5r994j20ci0cigmk.jpg,加pf的妹子，嘴巴里会喷出<strong>烟雾</strong>的设定w蓝国来玩www！！,"(450, 450)",2682543014,清光岩,http://ww1.sinaimg.cn/crop.0.0.166.166.1024/9fe45ba6jw1er65fwurv8j204n04nglm.jpg,"(50, 50)",42,13,31.689958,113.382842,Suízhōu 随州,湖北 随州,f,136,None,4,80,21,smog
51,http://ww2.sinaimg.cn/mw1024/c1c59488jw1er2hu5edp8j20ee0j6abg.jpg,<strong>烟雾</strong>缭绕，画面美得不好看。早,"(518, 690)",3250951304,小智老湿,http://ww2.sinaimg.cn/crop.0.0.401.401.1024/c1c59488gw1el6x96iyuyj20b80b7wfm.jpg,"(50, 50)",51,1,30.658601,104.064856,Chéngdū 成都,四川 成都,m,279,None,None,62,18,smog
52,http://ww1.sinaimg.cn/mw1024/812f655djw1er1uagbj25j20xc18ggvr.jpg,直到<strong>烟雾</strong>遮住你的脸，我才认同了这,"(1024, 1365)",2167367005,曾镇妖,http://tp2.sinaimg.cn/2167367005/180/5652422552/1,"(50, 50)",35,2,24.479836,118.08942,Xiàmén 厦门,福建 厦门,m,141,None,40,80,17,smog
54,http://ww4.sinaimg.cn/mw1024/bd944d6bjw1er1n9bs7a3j20v90v9gr0.jpg,<strong>烟雾</strong>豹纹款 再也不用担心豹纹会,"(1024, 1024)",3180612971,La-beauty工作室,http://ww1.sinaimg.cn/crop.0.1.1125.1125.1024/bd944d6bjw8eqz87n25imj20v90vbq58.jpg,"(50, 50)",12,1,39.117106,117.214708,Hépíngqū 和平区,天津 和平区,f,224,None,29,80,19,smog
55,http://ww4.sinaimg.cn/mw1024/68fefb56jw1er11ip31fsj20xc18gqkx.jpg,色#想想就开心，尽管前面是<strong>烟雾</strong>，终会看到前方的光明。,"(1024, 1365)",1761540950,JadeChoux,http://tp3.sinaimg.cn/1761540950/180/5668516270/0,"(50, 50)",44,19,23.020536,113.751765,Dōngguǎn 东莞,广东 东莞,f,147,None,42,80,20,smog
56,http://ww2.sinaimg.cn/mw1024/6a97d910jw1er0fw35h8rj20dc0hsjte.jpg,<strong>烟雾</strong>弥漫~我们工作进行时，他们,"(480, 640)",1788336400,多多dordore,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/6a97d910jw8eeosmzif2xj20hs0hsq3n.jpg,"(50, 50)",44,3,22.543099,114.057868,Shēnzhèn 深圳,广东 深圳,f,689,None,1,80,25,smog
57,http://ww3.sinaimg.cn/mw1024/a3c3e8e1jw1er09cn2seuj20m80xcafm.jpg,下过雨的清晨，<strong>烟雾</strong>缭绕。,"(800, 1200)",2747525345,一盞煙火,http://ww2.sinaimg.cn/crop.0.0.720.720.1024/a3c3e8e1jw8ek6jggne3dj20k00k0mxv.jpg,"(50, 50)",35,9,26.666291,119.526287,Níngdé 宁德,福建 宁德,f,15,None,91,80,13,smog
58,http://ww4.sinaimg.cn/mw1024/7276ca7fjw1er06qlh545j20dc0hs75g.jpg,170的车速碰到这种<strong>烟雾</strong>吓尿了 |G3京台高速,"(480, 640)",1920387711,点着星星打酱油,http://ww3.sinaimg.cn/crop.0.0.511.511.1024/7276ca7fjw8emvcqk337pj20e80e7dgy.jpg,"(50, 50)",34,2,31.352859,118.432941,Wúhú 芜湖,安徽 芜湖,m,111,None,None,80,21,smog
59,http://ww4.sinaimg.cn/mw1024/af950b97jw1eqzozlw9auj20hs0dcaco.jpg,洗完澡，看着<strong>烟雾</strong>缭绕，自带音效：美人-出浴,"(640, 480)",2945780631,陶梓酱,http://ww1.sinaimg.cn/crop.0.0.512.512.1024/af950b97jw8equgqfmrdcj20e80e8wev.jpg,"(50, 50)",33,5,30.894348,120.086823,Húzhōu 湖州,浙江 湖州,f,101,None,None,80,14,smog
60,http://ww2.sinaimg.cn/mw1024/9fd43794jw1eqzdoci6d9j21w02iohdt.jpg,谁在车上丢<strong>烟雾</strong>弹了！！！,"(1024, 1365)",2681485204,志气_常在,http://ww3.sinaimg.cn/crop.0.10.198.198.1024/9fd43794gw1e90xy6bmuej205k077glx.jpg,"(50, 50)",33,4,30.753924,120.758543,Jiāxīng 嘉兴,浙江 嘉兴,m,38,None,None,80,14,smog
61,http://ww4.sinaimg.cn/mw1024/64f9539ejw1epx0v24mc3j20qo0zkn2p.jpg,<strong>烟雾</strong>中的我像吴彦祖。,"(960, 1280)",1694061470,林熊猫,http://tp3.sinaimg.cn/1694061470/180/5633939238/1,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,m,962,None,213,80,30,smog
62,http://ww4.sinaimg.cn/mw1024/b1a47d39jw1eqyj98tuzhj20j40armyw.jpg,西班牙获奖动画短片《<strong>烟雾</strong>魔法师》  | http://t.cn/,"(688, 387)",2980347193,_CarrieW-,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/b1a47d39jw8elogn00lurj20k00k0tax.jpg,"(50, 50)",14,7,37.687024,112.752695,Jìnzhōng 晋中,山西 晋中,f,41,None,20,80,14,smog
63,http://ww4.sinaimg.cn/mw1024/afd4b6adjw1eqydj7574lj20c80atmxc.jpg,纵然<strong>烟雾</strong>缭绕，终会各有出路,"(440, 389)",2949953197,我也想要卷头发-,http://ww2.sinaimg.cn/crop.0.0.639.639.1024/afd4b6adjw8eqvxx9ed4zj20hs0hrjsw.jpg,"(50, 50)",400,11,1.352083,103.819836,Xīnjiāpō 新加坡,海外 新加坡,f,38,None,7,80,14,smog
64,http://ww1.sinaimg.cn/mw1024/85cbd711jw1eqya0amx0ij20t00t0n1f.jpg,《有香气的<strong>烟雾</strong>》,"(1024, 1024)",2837387582,-郑怪人,http://ww4.sinaimg.cn/crop.0.0.1080.1080.1024/a91f193ejw8eq0j9o81hoj20u00u040i.jpg,"(50, 50)",44,6,23.021548,113.121416,Fóshān 佛山,广东 佛山,f,235,None,84,80,16,smog
65,http://ww1.sinaimg.cn/mw1024/005DiZYgjw1eqy4hzlczxj30hs0nqwf7.jpg,店齐全，精美贴纸！满足对<strong>烟雾</strong>的各种要求！,"(640, 854)",5161469388,北京密斯特-电子烟体验中心,http://ww2.sinaimg.cn/crop.217.2.1528.1528.1024/005DiZYgtw1eh77jdgfbnj31kw16o7wh.jpg,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,m,82,None,None,80,14,smog
66,http://ww1.sinaimg.cn/mw1024/a17ecd01jw1eqxgu8ckswj20hs0qr0u0.jpg,<strong>烟雾</strong>缭绕！ http://t.cn/RAxkB,"(640, 963)",2709441793,悟空超萌小豹纹,http://ww4.sinaimg.cn/crop.0.0.1080.1080.1024/a17ecd01jw8eilwkpmgwtj20u00u00w1.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,18,None,None,80,18,smog
68,http://ww4.sinaimg.cn/mw1024/6e9986d4jw1epuu1hp2e7j20by0bvab7.jpg,<strong>烟雾</strong>冰淇淋 仙气飘飘滴赶脚,"(430, 427)",1855555284,大渝好吃狗,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/6e9986d4jw8elveg4nq76j20hs0hsmy7.jpg,"(50, 50)",50,3,29.552747,106.568889,Yúzhōngqū 渝中区,重庆 渝中区,m,687,None,578,80,26,smog
70,http://ww3.sinaimg.cn/mw1024/8fecee1ejw1eqwqglvjaej20hs0o0jt1.jpg,兰州市七里河区升起的工业<strong>烟雾</strong>@新浪环保 |建西东路,"(640, 864)",2414669342,豫东少年,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/8fecee1ejw8ee19tyuaxlj20k00k0tau.jpg,"(50, 50)",62,1,36.061255,103.834377,Lánzhōu 兰州,甘肃 兰州,m,33,None,96,80,15,smog
71,http://ww1.sinaimg.cn/mw1024/7e3e6941jw1eqwd7bqbk1j20dw08ndfz.jpg,球迷放焰火致<strong>烟雾</strong>太大，湘涛战松江一度中断,"(500, 311)",2118019393,九门八典一口钟,http://tp2.sinaimg.cn/2118019393/180/5645595361/1,"(50, 50)",11,14,40.22066,116.231204,Chāngpíngqū 昌平区,北京 昌平区,m,537,None,346,80,26,smog
